"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 03 09:59:35 IST 2022","Mon Oct 03 09:59:36 IST 2022","1320","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","testloginfunctinality","test_login_functinality","verification_test_log_in_functinality"
"passed","Fri Sep 30 19:04:42 IST 2022","Fri Sep 30 19:05:07 IST 2022","24899","Dsuite","Test","Tests.AuditTest","Tests.AuditTest","verfiyDocStatusIsDiaplayInTableAsPerFilter","verfiyDocStatusIsDiaplayInTableAsPerFilter","verfiyDocStatusIsDiaplayInTableAsPerFilter"
"broken","Mon Oct 03 10:37:03 IST 2022","Mon Oct 03 10:37:03 IST 2022","8","Dsuite","Test","Tests.CreateRoleTest","Tests.CreateRoleTest","setupmethod","setupmethod",""
"passed","Mon Oct 03 10:10:07 IST 2022","Mon Oct 03 10:10:46 IST 2022","38891","Dsuite","Test","Tests.DataSetTest","Tests.DataSetTest","verifySearchDatasetsOnUserPage","verify_that_user_is_able_to_Check_Datasets_on_user_page","verify_that_user_is_able_to_Check_Datasets_on_user_page"
"passed","Mon Oct 03 10:06:06 IST 2022","Mon Oct 03 10:06:46 IST 2022","39631","Dsuite","Test","Tests.UserTest","Tests.UserTest","verifyAllDropDownArrowInTable","verify_all_dropDown_arrow_in_table","verify_all_dropDown_arrow_in_table"
"passed","Mon Oct 03 09:58:07 IST 2022","Mon Oct 03 09:58:08 IST 2022","1421","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","testloginfunctinality","test_login_functinality","verification_test_log_in_functinality"
"passed","Mon Oct 03 10:03:02 IST 2022","Mon Oct 03 10:03:23 IST 2022","20959","Dsuite","Test","Tests.UserTest","Tests.UserTest","verifyUserAbleToClickOnCancelButton","verify_user_able_to_click_on_cancel_button"," verify_user_able_to_click_on_cancel_button"
"passed","Mon Oct 03 10:01:20 IST 2022","Mon Oct 03 10:01:27 IST 2022","6828","Dsuite","Test","Tests.ProjectModuleTest","Tests.ProjectModuleTest","Create_Project_With_Blank_Data","verify_user_able_to_Create_Project_With_Blank_Data","verify_user_able_to_Create_Project_With_Blank_Data"
"passed","Mon Oct 03 09:59:07 IST 2022","Mon Oct 03 09:59:09 IST 2022","1457","Dsuite","Test","Tests.LoginTest","Tests.LoginTest","testloginfunctinality","test_login_functinality","verification_test_log_in_functinality"
"passed","Fri Sep 30 19:05:19 IST 2022","Fri Sep 30 19:05:37 IST 2022","18464","Dsuite","Test","Tests.AuditTest","Tests.AuditTest","verifyTextOfAuditTab","verify Text Of Audit Tab","verify Text Of Audit Tab"
"skipped","Mon Oct 03 10:37:05 IST 2022","Mon Oct 03 10:37:05 IST 2022","1","Dsuite","Test","Tests.AnalyticsTest","Tests.AnalyticsTest","verifyThatuserClickOnNtsplatformAdminbuttonandAdminPopupisDispaly","verify_that_user_click_on_NTS_platform_admin_button_and_admin_popup_is_display"," verify_that_user_click_on_NTS_platform_admin_button_and_admin_popup_is_display"
